store_name,store_code,area
짭쪼롬 본점,1588636145,신시가지
담소뒷고기,1124462500,신시가지
담소뒷고기,1124462500,신시가지
짭쪼롬 본점,1588636145,신시가지
꾸꾸케이크,1253950233,신시가지
어시장 신시가지점,1318112774,신시가지
영등동골목길,1802806758,신시가지
세이토,1286344014,신시가지
카메짱,1172946342,신시가지
미즈미즈시이 본점,1449266513,신시가지
올드스터프,1862064342,신시가지
신포우리만두 신시가지점,33831528,신시가지
헤비커피,1750340748,신시가지
시선 전주신시가지점,1373343700,신시가지
카페 화현,2024899642,신시가지
사계 전주본점,1674437430,신시가지
빙수당 전북도청점,1807740420,신시가지
삼백휴게실 신시가지점,2091066633,신시가지
초밥에덴 도청점,2070133768,신시가지
은우정육식당,1978054842,신시가지
시골청년맥주,2037123751,신시가지
화산생곱창,34836952,신시가지
EU피자&파스타 전주신시가지점,2053075776,신시가지
백소정 전주도청점,1847309226,신시가지
투썸플레이스 전주신시가지점,19995671,신시가지
풍남정 도청점,33876678,신시가지
온정,1632569801,신시가지
바름정육식당 효자점,1328325377,신시가지
청담이상 전주도청점,36768842,신시가지
밥스터 신시가지점,33972079,신시가지
다인,1198569687,신시가지
하루참치,37356600,신시가지
와우케이크,1137932219,신시가지
인셔틀,1134493032,신시가지
미분당 전주신시가지점,1701538317,신시가지
빽다방 전주효자기전점,1506057487,신시가지
맥적 전주본점,2014088539,신시가지
마이마이케이크 신시가지 본점,1112976318,신시가지
서울깍두기 전북도청점,1098484038,신시가지
레드피아노 LP카페,1835982055,신시가지
완산암소갈비,1934509437,신시가지
종착역 전주신시가지점,1506242665,신시가지
브이엠에스 커피,1986093819,신시가지
키노앤코,2044890468,신시가지
찌개고집 전주신시가지점,2027134213,신시가지
금정돼지 신시가지점,1277669421,신시가지
아트오브램 전주신시가지본점,1560220094,신시가지
갯벌을 담다 전주 신시가지점,1756049153,신시가지
보리보리,1705592528,신시가지
삼동소바 전주신시가지점,2032348270,신시가지
고궁담,33878751,신시가지
소모라,2007681233,신시가지
뚜레쥬르 전북도청점,36623354,신시가지
스테이블 테이블,2038595691,신시가지
모토이시 전주 신시가지점,1637541307,신시가지
짬뽕제국,1654758442,신시가지
레몬그라스,2034282948,신시가지
샤브르정원 전주점,2049267952,신시가지
전래동화 전주신시가지점,20709574,신시가지
양와당 전주점,1659906429,신시가지
면식당 효자전주대점,1399181087,신시가지
록갈비 신시가지점,1755777514,신시가지
등촌샤브칼국수 신시가지점,1303415447,신시가지
블레스롤 전주신시가지점,1301306204,신시가지
오븐어클락,1016465767,신시가지
일품풍천장어,1340550116,신시가지
미성 신시가지점,1597781389,신시가지
1964금이정 전북도청본점,1989044251,신시가지
꾸아 전주신시가지점,1233258024,신시가지
비비하우스 케이크,1229523039,신시가지
설빙 전주효자점,35221582,신시가지
오모이텐동,2092304198,신시가지
오모이텐동,2092304198,신시가지
참예우명품프라자 도청점,21880658,신시가지
숙성회 어소,1816340669,신시가지
한우와 참치,1994972862,신시가지
라핀블랑 전주점,1470686010,신시가지
홍루몽,1787508757,신시가지
플러스82 전주점,1448315353,신시가지
라라코스트 전주전북도청점,36022749,신시가지
청담일식,37290017,신시가지
뺑드파미유,33616291,신시가지
콴안다오 전주,1282109513,신시가지
다 레오,1651846978,신시가지
도스타코스 전주신시가지점,1188233774,신시가지
김형제고기의철학 전주효자점,1792733628,신시가지
덕테이블,2047948215,신시가지
양은이네 전주효자동점,2090186714,신시가지
명가등심,642982797,신시가지
팔도만족 전주신시가지점,2040208344,신시가지
겐로쿠우동 전주직영점,2076508629,신시가지
거베라,1633327950,신시가지
장미맨숀,1101195131,신시가지
빽다방 전주수병원점,1329289087,신시가지
우아르,1270262419,신시가지
꾸석지돌판한우 전주신시가지점,1700625781,신시가지
미주김밥,1492178837,신시가지
국대쭈꾸미 전주신시가지점,2071890503,신시가지
주공간,1251903960,신시가지
연막창 전주신시가지점,1368697586,신시가지
까사데알마,1974191299,신시가지
목구멍 전주점,1989198526,신시가지
양누리 신시가지점,1119515452,신시가지
리프커피랩,1338005267,신시가지
전주식당,1496966068,신시가지
감탄계 숯불치킨 전주신시가지점,1967221125,신시가지
영칼로리포케&샐러드 전주신시가지점,1125006855,신시가지
마일드스넉,1120798436,신시가지
갓포마츠 본점,1084097460,신시가지
라디오가든,21232094,신시가지
상하이마라꼬치 전주신시가지점,2008284610,신시가지
GTS버거 전주점,1629334118,신시가지
아리아랑,16966515,신시가지
가마솥순대국밥 전주신시가지점,2070416720,신시가지
배스킨라빈스 전북도청점,1133669239,신시가지
유난희김밥,19934099,신시가지
카츠보름,1228928756,신시가지
양기와 전북도청점,1156703424,신시가지
상하이반점,16807968,신시가지
이삭토스트 전주신시가지점,1222898348,신시가지
후토루 전주효자점,1334543847,신시가지
갓생맥주 전주신시가지점,2014977985,신시가지
짬뽕지존 도청점,1118242996,신시가지
말마니,33292793,신시가지
모정산골냉면 도청점,653834491,신시가지
삼천동냉삼이 효자점,1785413691,신시가지
카페동글,2079133197,신시가지
반야돌솥밥,1219727678,신시가지
파파존스 전북도청점,1745587417,신시가지
파이널나인 홀덤펍 신시가지점,1968025184,신시가지
허브롤까스,33912396,신시가지
옥된장 전주신시가지점,1009032530,신시가지
한상바오 와갈비 신시가지점,1520821109,신시가지
프리모파스타,16977852,신시가지
연남물갈비 전북도청점,1125199834,신시가지
커피로드뷰 도청점,1148192708,신시가지
팔팔부대찌개 전주신시가지점,2089543193,신시가지
빽다방 전주마전점,1941473770,신시가지
한우전문미소,36803669,신시가지
히노아지 전주효자점,1670044844,신시가지
과일산타,1077317717,신시가지
리포소커피,1020436186,신시가지
리포소커피,1020436186,신시가지
슬로우캘리 전주효자점,1633056720,신시가지
겐돈소바 도청점,1116627616,신시가지
완미족발 전주효자점,1762068774,신시가지
일피오레,1504991121,신시가지
미생맥주 전주신시가지점,1166939465,신시가지
쭈불로드 도청점,1719822308,신시가지
롯데리아 롯데마트전주점,16963463,신시가지
족발신선생 전주효자점,1898324596,신시가지
북창동순두부 전주신시가지점,36469829,신시가지
써브웨이 전북도청점,1594068869,신시가지
이지비부대찌개 신시가지점,1793298913,신시가지
맘스터치 전북도청점,1541673783,신시가지
