업체코드,ID(작성자),리뷰 내용,작성일,평가 카테고리
2064592564,VERITAS LUX MEA,이거먹고싶어서갔는데버터계란밥까지진짜맛있었어요-!활꽃게바로손질해주시는지잘안발라져서먹기힘들긴했는데맛은완전굿굿뜨♥사장님메뉴작명센스가너무굿이셔요실수로다시킬뻔햇뜸ㅜㅜ리뷰이벤트X광고X걍해산물광제기준맛있어서남겨요,2026년 5월 31일 일요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_메뉴 구성이 알차요_친절해요_
2064592564,sol****,주말에는웨이팅필수입니다~~!한치회맛있고계란찜은진짜비주얼부터대박!!!여자직원분너무너무친절하세용~~ㅎㅎ,2026년 5월 30일 토요일,음식이 맛있어요_특별한 메뉴가 있어요_메뉴 구성이 알차요_친절해요_야외공간이 멋져요_
2064592564,Barley74,좋아요!다만ㅠㅠㅠ퓨ㅠ,2026년 5월 30일 토요일,음식이 맛있어요_
2064592564,hunn12,올때마다너무맛있고사장님도친절하고노래선곡도너무좋아요♥언제와도좋아요!!!!존맛☺☺,2026년 5월 30일 토요일,음식이 맛있어요_재료가 신선해요_친절해요_컨셉이 독특해요_
2064592564,lee****,예약하고이용해서바로입장할수있어좋았어요!인기있는메뉴두개먹어봤는데조합이너무조아요ㅜㅜ이렇게맛난음식들이있으니대기줄도어마어마!진짜메뉴들잊지못할음식들이에요!전주자주오는데올때마다들리는필수코스입니다!꼭두번세번백번먹으세요!,2026년 5월 30일 토요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_친절해요_
2064592564,chz****,산오징어맛있고여또오고싶습니다,2026년 5월 30일 토요일,음식이 맛있어요_야외공간이 멋져요_
2064592564,돈희최,분위기도너무좋고았고같이온동료들과좋은시간보내서기분이좋습니다💕🖤,2026년 5월 29일 금요일,단체모임 하기 좋아요_뷰가 좋아요_집중하기 좋아요_대화하기 좋아요_야외공간이 멋져요_
2064592564,rdq0728,오징어회먹고싶어서방문했어요!!이번에총2번째방문인데여전히모든안주가맛있네용오징어회도신선하구날치알이랑청어알가득들어있어서식감도너무좋아요♥️야외테이블도있어서지금날씨에분위기딱입니당담에또와서다른안주들도다먹을거에요!!😆,2026년 5월 29일 금요일,음식이 맛있어요_재료가 신선해요_메뉴 구성이 알차요_야외공간이 멋져요_친절해요_
2064592564,옥수숭숭,완전맛잇어용오징어싱싱하고술이랑잘들어가요!짱짱다음에또올게요!,2026년 5월 28일 목요일,음식이 맛있어요_재료가 신선해요_양이 많아요_
2064592564,snr****,아일단에피타이저로간계밥조지고있다보믄연포탕이나와요아근데이거나낙지쓰죽을때까지기다리기너무힘들었어요익자마자바로한입했어요진짜나눈깔오백바퀴돌았아요너무맛있어요내사랑미나리와콩나물과같이무그면나진짜여기서술한짝먹어요먹으면서술이깨요오세요마싯습니다,2026년 5월 28일 목요일,음식이 맛있어요_재료가 신선해요_음악이 좋아요_야외공간이 멋져요_친절해요_
